Plot,Site
84,Treatment
65,Treatment
88,Treatment
57,Treatment
97,Treatment
91,Treatment
70,Treatment
86,Treatment
67,Treatment
94,Treatment
52,Treatment
68,Treatment
74,Treatment
60,Treatment
54,Treatment
98,Treatment
62,Treatment
63,Treatment
89,Treatment
61,Treatment
55,Treatment
72,Treatment
49,Treatment
58,Treatment
36,Treatment
28,Treatment
22,Treatment
73,Treatment
75,Treatment
5,Treatment
77,Treatment
40,Treatment
21,Treatment
81,Treatment
42,Treatment
6,Treatment
1,Treatment
100,Treatment
10,Treatment
79,Treatment
26,Treatment
12,Treatment
80,Treatment
29,Treatment
23,Treatment
16,Treatment
4,Treatment
19,Treatment
14,Treatment
48,Treatment
C48,Control
C26,Control
C50,Control
C16,Control
C3,Control
C4,Control
C49,Control
C7,Control
C36,Control
C5,Control
C23,Control
C21,Control
C24,Control
C43,Control
C18,Control
C32,Control
C22,Control
C25,Control
C20,Control
C45,Control
C13,Control
C8,Control
C28,Control
C2,Control
C1,Control
C46,Control
C27,Control
C14,Control
C40,Control
C44,Control
C15,Control
C9,Control
C35,Control
C42,Control
C11,Control
C6,Control
C47,Control
C31,Control
C12,Control
C29,Control
C38,Control
C30,Control
C33,Control
C34,Control
C19,Control
C17,Control
C41,Control
C39,Control
C37,Control
C10,Control
